,alpha,dev_accuracy,epsilon,fit_intercept,l1_ratio,loss,n_iter,normalization,penalty,shuffle
0,0.0029041099,1.0881501255,0.2037803517,True,0.7011612175,squared_loss,67,max,none,False
0,0.0138919901,1.1658337521,0.7573942241,True,0.8718996857,huber,77,max,none,False
0,0.0722179815,1.3905056961,0.6573332168,True,0.0128733171,epsilon_insensitive,47,none,elasticnet,True
0,0.0061744312,1.4750702262,0.2348234046,True,0.2752109219,epsilon_insensitive,59,none,l2,False
0,0.0548065345,1.5336619107,0.1998545353,True,0.4030131566,squared_epsilon_insensitive,94,max,l2,False
0,0.0737030952,1.5481630075,0.1509130123,True,0.6080450082,squared_loss,84,l2,none,True
0,0.0416193043,1.5689548994,0.6143997766,True,0.6854569182,epsilon_insensitive,69,none,l2,False
0,0.0113032621,1.674183199,0.3753208181,True,0.242699562,squared_loss,56,l2,l2,False
0,0.0645164874,1.6785357204,0.396083964,True,0.1566254029,squared_epsilon_insensitive,71,l1,none,True
0,0.0379819772,1.6798169641,0.1779046519,True,0.9201345086,squared_epsilon_insensitive,89,l2,l2,False
0,0.089625549,1.6833252211,0.8780296927,True,0.3351824549,epsilon_insensitive,95,none,elasticnet,True
0,0.0068100977,1.6853287953,0.3849634272,True,0.6032027896,squared_loss,77,l1,l2,True
0,0.0151663217,1.6854055873,0.0375703702,True,0.5193117654,squared_epsilon_insensitive,64,l1,l2,True
0,0.0724238609,1.6861658431,0.7809697946,True,0.419618723,squared_loss,32,max,elasticnet,False
0,0.0930715055,1.6861713212,0.5243536028,True,0.7624985296,squared_loss,29,l1,l1,True
0,0.0467870625,1.6861759001,0.8541375597,True,0.024073885,squared_loss,36,l1,elasticnet,True
0,0.0325134275,1.6862017569,0.005001391,True,0.7222483041,squared_epsilon_insensitive,52,l1,elasticnet,True
0,0.0090391735,1.6862054801,0.7800061865,True,0.6480807995,squared_loss,73,l2,l1,True
0,0.0903382251,1.6862176749,0.6456777048,True,0.574054923,squared_loss,97,max,elasticnet,False
0,0.0869105796,1.6862242758,0.940919504,True,0.505702754,epsilon_insensitive,53,l1,elasticnet,True
0,0.0234496559,1.6871297907,0.3785951442,True,0.2473980711,squared_epsilon_insensitive,13,l2,l1,False
0,0.0348054949,1.6872277951,0.481690212,True,0.9118994976,squared_epsilon_insensitive,80,l2,l1,False
0,0.0637034042,1.6889682733,0.8384540996,True,0.8561436256,squared_loss,17,l1,elasticnet,False
0,0.0792962019,1.6894276745,0.7587856392,True,0.1917371938,squared_epsilon_insensitive,69,l2,l1,True
0,0.0678019818,1.6924620586,0.3759300839,True,0.7440717925,squared_epsilon_insensitive,8,l2,elasticnet,False
0,0.0049576443,1.7086838532,0.268479959,True,0.050201865,epsilon_insensitive,21,l1,l2,False
0,0.0766077256,1.7193501332,0.9897618559,True,0.5450941759,epsilon_insensitive,49,none,elasticnet,True
0,0.050826196,1.7948082721,0.4952962515,True,0.9144927541,huber,89,l1,l1,True
0,0.077147418,1.79519755,0.398415053,True,0.69907315,huber,94,l2,none,True
0,0.0787391847,1.8052775202,0.7106795964,True,0.0138441549,huber,28,l1,l1,False
0,0.0211063034,1.809638488,0.947846604,True,0.410218881,huber,68,l1,elasticnet,True
0,0.034938297,1.8126930874,0.4512976001,True,0.7842729177,epsilon_insensitive,89,max,l2,True
0,0.0110717466,1.8616637766,0.7514802281,True,0.2072458042,huber,92,l2,l1,True
0,0.0171782801,1.8765044691,0.6828655023,True,0.5472567806,epsilon_insensitive,16,max,none,True
0,0.0957711507,1.877860157,0.6808794806,True,0.7047680535,huber,88,l2,elasticnet,False
0,0.058920382,1.9075601813,0.5001240194,True,0.9795616482,huber,40,max,l1,False
0,0.0809659854,1.9911958105,0.5096480724,True,0.4006911259,huber,50,none,none,True
0,0.030728424,2.0020801953,0.8340731395,True,0.2098755506,squared_loss,5,max,none,True
0,0.0861745524,2.0350122308,0.3578316872,True,0.320710397,epsilon_insensitive,61,l1,l2,True
0,0.0961920493,2.1355641788,0.7798374828,True,0.210789154,epsilon_insensitive,21,none,none,True
0,0.0591365472,2.1571623172,0.1658131857,True,0.6124115374,epsilon_insensitive,78,l1,none,False
0,0.0051615412,2.1701476294,0.8737476797,True,0.688507817,squared_epsilon_insensitive,62,max,elasticnet,False
0,0.0286136697,2.4774834318,0.3042845614,True,0.8401607738,huber,93,none,l1,False
0,0.0011827621,3.0707078418,0.3345908593,True,0.5818933605,huber,39,l1,elasticnet,True
0,0.0660791763,3.3281284853,0.755146871,True,0.6953603087,huber,12,l2,l2,False
0,0.0446317667,3.3623711765,0.2085681371,True,0.3808118893,epsilon_insensitive,5,max,none,False
0,0.0621413062,3.9848127967,0.3674875807,False,0.5109808761,huber,84,none,none,True
0,0.0076409932,4.3220939731,0.1575599778,True,0.2223287068,epsilon_insensitive,6,l2,elasticnet,True
0,0.0478608021,4.4524841584,0.3663173019,False,0.1072876229,huber,45,none,none,False
0,0.0120787608,4.9001443976,0.4297164479,False,0.0548903552,huber,36,none,elasticnet,False
0,0.0969283447,4.9212184903,0.97306838,False,0.0909000939,huber,13,none,elasticnet,True
0,0.0263190921,5.0363831237,0.4954308935,False,0.154339268,epsilon_insensitive,56,none,none,False
0,0.0382421271,5.3224943654,0.2830215459,True,0.4603425426,squared_loss,1,l1,l1,True
0,0.0189788653,5.6826009713,0.0236208977,False,0.8087551085,epsilon_insensitive,25,none,l1,False
0,0.0540008898,5.8940279192,0.0753165002,False,0.4277521404,squared_epsilon_insensitive,74,max,l2,True
0,0.0075621267,6.0037643817,0.5787188851,False,0.0566703507,epsilon_insensitive,21,max,l1,False
0,0.0371297221,6.0562596038,0.9356670298,False,0.6365304624,huber,42,none,l2,False
0,0.0591459905,6.1021962884,0.1019863812,True,0.5418266116,huber,57,max,l2,False
0,0.0131798649,6.3511232823,0.2628041956,False,0.3823503204,epsilon_insensitive,30,none,elasticnet,False
0,0.099014755,6.4397886771,0.4308799516,False,0.0318957633,squared_epsilon_insensitive,83,max,l2,True
0,0.0764862101,6.4639261215,0.9517650582,False,0.2189902748,squared_epsilon_insensitive,44,l2,none,False
0,0.0374803175,6.7356594557,0.2027804418,False,0.7539647645,epsilon_insensitive,55,max,l2,False
0,0.0577284182,7.2290278553,0.9440009425,False,0.5786065074,huber,32,max,l2,False
0,0.0757723027,7.2391303217,0.5713687574,False,0.604626069,squared_epsilon_insensitive,78,max,elasticnet,False
0,0.0084406192,7.4205244226,0.9872448501,False,0.34926979,epsilon_insensitive,59,l2,none,False
0,0.070274465,7.5738481151,0.505412928,False,0.2945023918,squared_loss,9,max,elasticnet,True
0,0.0812195201,7.6167451226,0.9416424903,False,0.2377132632,squared_loss,14,max,elasticnet,False
0,0.0027545843,7.8103329775,0.4394379138,False,0.3267262982,squared_loss,93,l2,l2,True
0,0.086588569,7.8222116719,0.0243679297,False,0.0076391695,epsilon_insensitive,62,max,elasticnet,True
0,0.0672358045,8.0131657223,0.0228130089,False,0.0527887887,epsilon_insensitive,10,max,elasticnet,True
0,0.098426693,8.7837316494,0.3614783282,False,0.8222678264,squared_loss,17,max,elasticnet,False
0,0.0269346107,8.9517665741,0.2073732771,True,0.7068487141,huber,7,l1,elasticnet,False
0,0.0300692976,10.8384046393,0.1121707261,False,0.9935419155,epsilon_insensitive,88,l1,none,True
0,0.0341027888,10.9087743415,0.0728778872,False,0.2805348607,squared_epsilon_insensitive,43,l2,elasticnet,False
0,0.0865555255,10.9903589882,0.8577042039,False,0.2434884982,squared_epsilon_insensitive,69,l1,l2,False
0,0.0452451033,10.9946663452,0.181416193,False,0.6267151397,epsilon_insensitive,23,l1,l2,False
0,0.0580127225,10.9952613267,0.488885963,False,0.3279015681,epsilon_insensitive,98,l1,l2,False
0,0.0956743719,10.9960683348,0.0469527259,False,0.8249893681,epsilon_insensitive,29,l1,l2,False
0,0.0412087013,10.9973585118,0.1222996229,False,0.5503212725,squared_epsilon_insensitive,87,l1,elasticnet,False
0,0.0419331371,10.9973585118,0.0431770382,False,0.9640054968,squared_epsilon_insensitive,56,l2,l1,True
0,0.0931338698,10.9973585118,0.7835909049,False,0.516173677,squared_loss,27,l1,l1,False
0,0.0278834347,10.9973585118,0.280356172,False,0.1034004615,huber,89,l2,l1,False
0,0.0024877928,10.9973585118,0.5351027691,False,0.6981072548,squared_epsilon_insensitive,20,l1,l1,True
0,0.0991192926,10.9973585118,0.7890980127,False,0.6249902953,squared_epsilon_insensitive,89,l2,l1,False
0,0.0750430885,10.9973585118,0.0928371123,False,0.8924321687,squared_epsilon_insensitive,76,l1,l1,False
0,0.0244990101,10.9973585118,0.9901046514,False,0.3814313405,squared_epsilon_insensitive,70,l1,elasticnet,True
0,0.0514748373,10.9973585118,0.4692594759,False,0.5765776159,huber,31,l1,l1,False
0,0.0259660893,10.9973585118,0.7609144947,False,0.1003810225,squared_epsilon_insensitive,31,l2,l1,False
0,0.0714381496,4.20516257357E+019,0.8800770796,True,0.8296890896,squared_loss,64,none,l1,True
0,0.0536655036,5.73220305322E+019,0.3174931599,True,0.7699616306,squared_loss,82,none,l1,True
0,0.0917620449,1.00548177739E+020,0.2018333616,False,0.1164783637,squared_loss,52,none,l1,True
0,0.0052418141,2.9651434085E+020,0.832417675,False,0.779776447,squared_loss,62,none,none,True
0,0.0022693779,3.5577858685E+020,0.7248539764,True,0.9884563135,squared_loss,30,none,l1,True
0,0.016796748,3.69386254582E+020,0.2465336124,True,0.2644855343,squared_loss,31,none,l1,True
0,0.0957330374,5.00780220337E+020,0.2283601102,True,0.2391255601,squared_epsilon_insensitive,61,none,none,False
0,0.0971897439,5.02815508127E+020,0.8433084879,False,0.7671836328,squared_loss,72,none,none,False
0,0.0235537614,8.97489065307E+020,0.6424270064,False,0.9615078138,squared_epsilon_insensitive,35,none,l2,False
0,0.0572310525,9.86360908598E+020,0.925873179,False,0.8071294967,squared_epsilon_insensitive,28,none,l2,False
0,0.0856551695,1.08705901893E+021,0.4105341876,True,0.9917409675,squared_epsilon_insensitive,12,none,l2,True
0,0.0846841455,1.55337123163E+021,0.179839678,False,0.4237013943,squared_epsilon_insensitive,43,none,none,True
